productname,nutriscorescore,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g
Crosti Petales Choc',-1,a,1623,2.4,18,9,11,0.08
Pétales de sarrasin,-2,a,1548,0.8,1,6.2,13.9,0.4
Pétales épeautre riz fruits rouges,-2,a,1506,0.2,8.8,8.8,8.4,0.336
Special Flakes-ORIGINAL,-2,a,1561,0.3,11.8,6.2,8.9,0.196
Pétale de maïs nature,-3,a,1565,0.2,5,4,8,0
Flakes de sarrasin,-6,a,1653,0.6,0.7,6.3,14,0.044
"Barres aux amandes, baies de goji, pétales de rose et huile essentielle de géranium",-2,a,565,0.7,7.5,2,3.7,0.004
Super Flakes Fruits rouges,-2,a,1573,0.3,8.8,5.8,9,0.356
Petales de sarrasin,-4,a,1530,1.33,4,9,14,0.173
Corn Flakes Pétales De Maïs Bio,-1,a,1594,0.2,4,4,7.5,0.332
Pétales d'Epeautre,-4,a,1510,0.667,3,10,13,0.227
Flakes d'Épeautre Complet,-6,a,1573,0.3,2.9,11,15,0.036
Fitness nutritious energy,-4,a,1540,0.6,11,8.9,9.4,0
Cool pétales,-1,a,1611,1.6,21,7.6,9.7,0.072
Corn flakes,-6,a,1602,0.5,1.1,6.4,8.1,0.004
Pétales de Sarrasin,-1,a,1615,0.8,2.1,5.8,14.1,0.48
Pétales de Blé fruits rouges,-2,a,1561,0.4,13.9,7,8.5,0.148
Special flakes - Red berries,-1,a,1603,0.3,13.3,3.9,12,0.26416
Pétales épeautre complet & riz,-2,a,1523,0.3,9.4,5.5,7.8,0.16
Pétales de sarrasin chataigne,-5,a,1565,0.7,5.4,7.5,13.8,0.0012
Picachoc,-3,a,1632,0.7,16.8,5.2,9.2,0.008
Pétales de mais,-2,a,1540,0,5,3,7,0
Pétales 5 céréales,-2,a,1452,0.5,1.1,12,11,0.396
Muesli sans gluten,-1,a,1652,0.8,13,4.3,7.6,0.096
Corn Flakes,-1,a,1552,0.2,6,5,8,0.332
Corn Flakes Nature,-4,a,1594,0.3,0.6,4.4,6.7,0
Love Fibre,-1,a,1548,0.4,16,7.5,14,0.22
Con flakes nature,-1,a,628,0.1,0.5,1.3,2.8,0
Clair fibres,-6,a,1536,0.8,2.7,39.1,12.8,0.024
