,productname,nutriscorescore,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g,our_score
0,Crosti Petales Choc',-1,a,1623,2.4,18.0,9.0,11.0,0.08,15.4
1,Pétales de sarrasin,-2,a,1548,0.8,1.0,6.2,13.9,0.4,18.8
2,Pétales épeautre riz fruits rouges,-2,a,1506,0.2,8.8,8.8,8.4,0.336,17.4
3,Special Flakes-ORIGINAL,-2,a,1561,0.3,11.8,6.2,8.9,0.196,17.8
4,Pétale de maïs nature,-3,a,1565,0.2,5.0,4.0,8.0,0.0,18.6
5,Flakes de sarrasin,-6,a,1653,0.6,0.7,6.3,14.0,0.044,20.0
6,"Barres aux amandes, baies de goji, pétales de rose et huile essentielle de géranium",-2,a,565,0.7,7.5,2.0,3.7,0.004,17.3
7,Super Flakes Fruits rouges,-2,a,1573,0.3,8.8,5.8,9.0,0.356,17.4
8,Petales de sarrasin,-4,a,1530,1.33,4.0,9.0,14.0,0.173,17.2
9,Corn Flakes Pétales De Maïs Bio,-1,a,1594,0.2,4.0,4.0,7.5,0.332,16.4
10,Pétales d'Epeautre,-4,a,1510,0.667,3.0,10.0,13.0,0.227,18.0
11,Flakes d'Épeautre Complet,-6,a,1573,0.3,2.9,11.0,15.0,0.036,18.6
12,Fitness nutritious energy,-4,a,1540,0.6,11.0,8.9,9.4,0.0,18.4
13,Cool pétales,-1,a,1611,1.6,21.0,7.6,9.7,0.072,15.8
14,Corn flakes,-6,a,1602,0.5,1.1,6.4,8.1,0.004,20.0
15,Pétales de Sarrasin,-1,a,1615,0.8,2.1,5.8,14.1,0.48,17.4
16,Pétales de Blé fruits rouges,-2,a,1561,0.4,13.9,7.0,8.5,0.148,17.4
17,Special flakes - Red berries,-1,a,1603,0.3,13.3,3.9,12.0,0.26416,16.4
18,Pétales épeautre complet & riz,-2,a,1523,0.3,9.4,5.5,7.8,0.16,17.4
19,Pétales de sarrasin chataigne,-5,a,1565,0.7,5.4,7.5,13.8,0.0012,19.0
20,Picachoc,-3,a,1632,0.7,16.8,5.2,9.2,0.008,17.8
21,Pétales de mais,-2,a,1540,0.0,5.0,3.0,7.0,0.0,18.0
22,Pétales 5 céréales,-2,a,1452,0.5,1.1,12.0,11.0,0.396,17.8
23,Muesli sans gluten,-1,a,1652,0.8,13.0,4.3,7.6,0.096,16.0
24,Corn Flakes,-1,a,1552,0.2,6.0,5.0,8.0,0.332,17.8
25,Corn Flakes Nature,-4,a,1594,0.3,0.6,4.4,6.7,0.0,20.0
26,Love Fibre,-1,a,1548,0.4,16.0,7.5,14.0,0.22,17.0
27,Con flakes nature,-1,a,628,0.1,0.5,1.3,2.8,0.0,19.5
28,Clair fibres,-6,a,1536,0.8,2.7,39.1,12.8,0.024,18.0
29,Special K aux 3 céréales complètes avec une touche de miel,-1,a,1613,0.5,18.0,5.0,9.0,0.252,16.8
30,Muesli Graines Anciennes,-1,a,1841,2.2,10.9,8.6,11.9,0.072,16.0
31,Life Nature,-2,a,1791,1.0,12.0,7.6,8.8,0.156,16.6
32,Muesli Croustillant Myrtilles & Baies de Goji,0,b,1682,1.2,14.0,14.0,11.0,0.104,16.6
33,Corn Flakes,1,b,1556,0.3,4.0,2.5,7.5,0.332,16.4
34,Cornflakes,1,b,1564,0.3,4.0,3.2,7.3,0.4,15.8
35,Muesli Bio,0,b,1561,2.8,18.9,8.5,9.3,0.008,16.4
36,Pétales de blé chocolat,0,b,1539,1.7,20.0,8.7,9.8,0.168,15.8
37,Pétales aux trois céréales fruits rouges,1,b,1602,0.3,17.0,4.0,8.2,0.32,15.8
38,Corn Flakes,1,b,1611,0.2,6.7,3.0,8.8,0.44,16.4
39,Corn Flakes Pétales de maïs,2,b,1615,0.2,6.7,2.3,8.8,0.44,16.4
40,Corn Flakes,1,b,1556,0.3,5.5,4.7,7.3,0.392,16.4
41,Pétales riz et blé complet aux fruits rouges Monoprix,0,b,1602,0.3,17.0,6.1,8.2,0.36,16.6
42,"Pétales de riz, blé complet & orge complète",1,b,1565,0.5,15.0,6.1,8.0,0.288,16.8
43,"Pétales de riz, blé complet et orge",2,b,724,1.3,11.0,0.0,7.4,0.18,14.7
44,Forme flakes pétales de riz et de blé aux fruits rouges,0,b,1581,0.5,16.0,6.1,8.1,0.28,16.4
45,Pétales riz et blé complet Monoprix,0,b,1615,0.3,15.0,5.2,8.3,0.36,17.2
